ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-08-21 22:00:00,28.24284168292572,2.9940290918255617,62.31556013887872,28.242650588879776,28.242916217936145,3.3137239736053563,3.3137239736053563,3.3137239736053563,1.1552498875909616,1.1552498875909616,1.1552498875909616,2.1584740860143956,2.1584740860143956,2.1584740860143956,0.0,0.0,0.0,31.556565656531077
2018-08-21 23:00:00,28.246000726026185,4.229219039753727,65.18303608206406,28.2457702521952,28.2460947622978,5.817496240225866,5.817496240225866,5.817496240225866,3.718785357265113,3.718785357265113,3.718785357265113,2.098710882960753,2.098710882960753,2.098710882960753,0.0,0.0,0.0,34.06349696625205
2018-08-22 00:00:00,28.249159769126646,5.186020425431488,64.49486003989671,28.248885193806824,28.24927079270836,6.449385634728249,6.449385634728249,6.449385634728249,4.398256533456357,4.398256533456357,4.398256533456357,2.051129101271893,2.051129101271893,2.051129101271893,0.0,0.0,0.0,34.698545403854894
2018-08-22 01:00:00,28.252318812227106,7.038450016941488,65.77141918170629,28.251997937246088,28.252440218113083,7.924349950492258,7.924349950492258,7.924349950492258,5.909046723641641,5.909046723641641,5.909046723641641,2.015303226850615,2.015303226850615,2.015303226850615,0.0,0.0,0.0,36.176668762719366
2018-08-22 02:00:00,28.25547785532757,7.892522699196287,67.09286865246229,28.255121594032417,28.255624309989848,9.250717452394454,9.250717452394454,9.250717452394454,7.260093575227083,7.260093575227083,7.260093575227083,1.9906238771673737,1.9906238771673737,1.9906238771673737,0.0,0.0,0.0,37.506195307722024
2018-08-22 03:00:00,28.25863689842803,4.699106044194944,63.898157553100624,28.258261900055523,28.258830080901536,6.54647850094342,6.54647850094342,6.54647850094342,4.5701629392490855,4.5701629392490855,4.5701629392490855,1.9763155616943335,1.9763155616943335,1.9763155616943335,0.0,0.0,0.0,34.80511539937145
2018-08-22 04:00:00,28.26179594152849,0.0,56.98255943240006,28.261369623103526,28.26201525948362,-1.9174962830603344,-1.9174962830603344,-1.9174962830603344,-3.888952710145101,-3.888952710145101,-3.888952710145101,1.97145642708477,1.97145642708477,1.97145642708477,0.0,0.0,0.0,26.344299658468156
2018-08-22 05:00:00,28.264954984628954,0.0,45.93812126685375,28.26451184796664,28.2652294151906,-12.482155703610019,-12.482155703610019,-12.482155703610019,-14.45715538111567,-14.45715538111567,-14.45715538111567,1.9749996775056555,1.9749996775056555,1.9749996775056555,0.0,0.0,0.0,15.782799281018935
2018-08-22 06:00:00,28.268114027729414,0.0,39.967750133368284,28.267647088941697,28.268430594727675,-18.846215910723867,-18.846215910723867,-18.846215910723867,-20.83201225138222,-20.83201225138222,-20.83201225138222,1.9857963406583508,1.9857963406583508,1.9857963406583508,0.0,0.0,0.0,9.421898117005547
2018-08-22 07:00:00,28.271273070829874,0.0,39.88128001984705,28.270687776087204,28.271634974129725,-18.344043175087656,-18.344043175087656,-18.344043175087656,-20.34666220972983,-20.34666220972983,-20.34666220972983,2.0026190346421715,2.0026190346421715,2.0026190346421715,0.0,0.0,0.0,9.927229895742219
