charger_id,name,lat,lon,city,state,operator,source
480931,"Life Republic, Hingewadi",18.62469386315059,73.71614384492979,Pune,Maharashtra ,Unknown,OpenChargeMap
480930,E Fill Electric Charging Station,18.65176177650684,73.73354791594272,Pimpri-Chinchwad,Maharashtra ,Unknown,OpenChargeMap
480439,O by Tamara Trivandrum,8.512700130028037,76.90155717443145,Unknown,Kerala,Unknown,OpenChargeMap
480438,Mall Of Travancore,8.487399350739054,76.9263865896603,Unknown,Kerala,Unknown,OpenChargeMap
480437,Al Ameen EVCS,11.083012168233694,76.06846692942781,Malappuram,Kerala,Unknown,OpenChargeMap
480436,Caritas Hospital,9.643106438770388,76.54978698459388,Thellakom,Kerala,Unknown,OpenChargeMap
480435,Sihla Energy EVCS,9.265237172773737,76.77803509536034,Pathanamthitta,Kerala,Unknown,OpenChargeMap
480434,Vandanam Vibe EVCS,9.412054896881273,76.3497681949093,Alappuzha,Kerala,Unknown,OpenChargeMap
480433,Thanneermukkom Soorya EVCS,9.651227575066756,76.37388825507924,Thanneermukkom,Kerala,Unknown,OpenChargeMap
480432,Chavassery Power Boost EVCS,11.948082439185967,75.61538494401248,Chavassery,Kerala,Unknown,OpenChargeMap
480431,Kakkanad Thomas Tower EVCS,10.003099231097394,76.36193325463523,Kakkanad,Kerala,Unknown,OpenChargeMap
480430,Vyttila I-Drive EVCS,9.976617428146184,76.3178961221787,Vyttila,Kerala,Unknown,OpenChargeMap
480429,Centre Square Mall EVCS,9.977956768136323,76.28359498430041,Kochi,Kerala,Unknown,OpenChargeMap
480428,Kadavanthra Hi-Span EVCS,9.966419154275172,76.30020200358149,Elamkulam,Kerala,Unknown,OpenChargeMap
480427,Thiruvankulam Thuruthiyil ECVS,9.944941654521244,76.3749542207513,Thiruvankulam,Kerala,Unknown,OpenChargeMap
480426,Thiruvankulam Edifice EVCS,9.944357341495845,76.37454932652759,Thiruvankulam,Kerala,Unknown,OpenChargeMap
480425,New Central Talkies EVCS,9.932870963002458,76.35402261324248,Thrippunithura,Kerala,Unknown,OpenChargeMap
480424,Nucleus Mall EVCS,9.939769327506,76.33084767868081,Thrippunithura,Kerala,Unknown,OpenChargeMap
480423,Maradu Crowne Plaza EVCS,9.934295516158258,76.31882007213062,Maradu,Kerala,Unknown,OpenChargeMap
480422,Nettoor Royal Drive Smart EVCS,9.928512582134246,76.31755483825702,Nettoor,Kerala,Unknown,OpenChargeMap
480421,VPS Lakeshore Hospital EVCS,9.918898936471678,76.31841806447744,Ernakulam ,Kerala,Unknown,OpenChargeMap
480420,Wayside Inn EVCS,9.649388802099395,76.33665331046609,Cherthala ,Kerala,Unknown,OpenChargeMap
480419,Kanjikuzhy Silver Sand EVCS,9.609362414766593,76.32996533541757,Kanjikuzhi,Kerala,Unknown,OpenChargeMap
480418,CGH Coconut Lagoon,9.629063772891357,76.42994325927907,Kumarakom,Kerala,Unknown,OpenChargeMap
480417,Manipuzha Lazza EVCS,9.568985392581737,76.5196765497044,Kottayam,Kerala,Unknown,OpenChargeMap
480416,Changanassery Kohinoor EVCS,9.467585942191349,76.529836167442,Changanassery ,Kerala,Unknown,OpenChargeMap
480415,Changanassery Chaitanya Greem,9.43275347373934,76.54375728229024,Changanassery ,Kerala,Unknown,OpenChargeMap
480414,TK Road Power Park EVCS,9.38581270425044,76.61916026110157,Thiruvalla ,Kerala,Unknown,OpenChargeMap
480413,Kaviyoor M Point EVCS,9.3906625417263,76.6072280975178,Thiruvalla,Kerala,Unknown,OpenChargeMap
480412,SR Commercial Centre EVCS,9.253682399563758,76.58650166246048,Mavelikkara,Kerala,Unknown,OpenChargeMap
480411,Haripad Saugandhika EVCS,9.266620588627518,76.46132375899651,Haripad,Kerala,Unknown,OpenChargeMap
480410,Karunagappally Energy Spot,9.059438002693,76.53579910806559,Karunagapally,Kerala,Unknown,OpenChargeMap
480409,Karunagappally Memories Inn,9.089815631359244,76.5272522393791,Karunagapally,Kerala,Unknown,OpenChargeMap
480408,Ochira Merit EVCS,9.119213418338845,76.51867061239898,Ochira,Kerala,Unknown,OpenChargeMap
